     Word  Gold Label  Predicted Label
       go           0                0
     take           0                0
      the           0                0
    green           1                1
      toy           1                1
     that           0                0
       is           0                0
     next           0                0
       to           0                0
      the           0                0
     sofa           1                1
    under           0                0
      the           0                0
   poster           2                2
      and           0                0
    bring           0                0
       it           0                0
       to           0                0
      the           0                0
bookshelf           1                1
--------------------------------------------------
    Word  Gold Label  Predicted Label
   avoid           0                0
     any           0                0
cabinets           0                0
     but           0                0
      go           0                0
     get           0                0
     the           0                0
     mug           0                0
      on           0                0
     the           0                0
    blue           0                0
    sofa           0                0
     and           0                1
    take           0                0
      it           0                0
      to           0                0
     the           0                0
     red           0                0
     one           0                0
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
     to           0                0
    the           0                0
cabinet           1                1
between           0                0
    the           0                0
   blue           1                1
   sofa           1                1
    and           0                0
    the           0                0
 yellow           0                0
  robot           0                0
     or           0                0
    the           0                0
cabinet           1                1
     to           0                0
    the           0                0
   left           0                0
     of           0                0
    the           0                0
   blue           1                1
   sofa           1                1
--------------------------------------------------
  Word  Gold Label  Predicted Label
    go           0                0
    to           0                0
   any           0                0
 trash           1                1
   bin           1                1
   but           0                0
   not           0                0
   the           0                0
yellow           3                3
   one           0                0
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
     to           0                0
    the           0                0
cabinet           1                1
between           0                0
    the           0                0
   blue           1                1
   sofa           1                1
    and           0                0
    the           0                0
 yellow           0                0
  robot           0                0
     or           0                0
    the           0                0
cabinet           1                1
     to           0                0
    the           0                0
   left           0                0
     of           0                0
    the           0                0
   blue           1                1
   sofa           1                1
--------------------------------------------------
    Word  Gold Label  Predicted Label
      go           0                0
      to           0                0
     the           0                0
     red           1                0
    sofa           1                1
     but           0                0
   don't           0                0
    pass           0                0
      by           0                0
     any           0                0
    door           3                0
    then           0                0
      go           0                0
      to           0                0
     the           0                0
computer           1                0
     the           0                0
    sofa           1                1
      is           0                0
  behind           0                0
     the           0                0
  pillar           2                0
     and           0                0
      on           0                0
     the           0                0
   right           0                0
    side           0                2
--------------------------------------------------
     Word  Gold Label  Predicted Label
        i           0                0
     need           0                0
      you           0                0
       to           0                0
       go           0                0
       to           0                0
      the           0                0
     sink           1                1
     then           0                0
      any           0                0
 computer           1                1
       on           0                0
      the           0                0
    table           2                2
      but           0                0
   before           0                0
      you           0                0
    start           0                0
     that           0                0
      can           0                0
      you           0                0
    first           0                0
       go           0                0
       to           0                0
      the           0                0
bookshelf           1                1
     when           0                0
   you're           0                0
     done           0                0
     with           0                0
      all           0                0
     that           0                0
   return           0                0
       to           0                0
      the           0                0
    brown           1                1
      box           1                1
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
    get           0                0
     my           0                0
 yellow           1                1
    bag           1                1
    and           0                0
  bring           0                0
     it           0                0
     to           0                0
    the           0                0
  table           1                1
between           0                1
    the           0                0
 yellow           1                0
 pillar           1                0
    and           0                0
    the           0                0
 wooden           1                0
   door           1                1
   with           1                0
posters           1                0
   next           0                0
     to           0                0
    the           0                0
  white           0                0
  board           0                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
      go           0                0
      to           0                0
     the           0                0
     red           1                0
    sofa           1                1
     but           0                0
   don't           0                0
    pass           0                0
      by           0                0
     any           0                0
    door           3                0
    then           0                0
      go           0                0
      to           0                0
     the           0                0
computer           1                0
     the           0                0
    sofa           1                1
      is           0                0
  behind           0                0
     the           0                0
  pillar           2                0
     and           0                0
      on           0                0
     the           0                0
   right           0                0
    side           0                2
--------------------------------------------------
      Word  Gold Label  Predicted Label
       hey           0                0
       i'm           0                0
  standing           0                0
        by           0                1
       the           0                1
whiteboard           1                0
        in           0                0
     front           0                0
        of           0                0
       the           0                0
 bookshelf           2                1
       can           0                1
       you           0                0
     bring           0                0
        me           0                0
       the           0                0
       mug           1                0
      from           0                0
       the           0                1
     table           1                0
        to           0                0
       the           0                0
      left           0                0
        of           0                0
       the           0                0
    fridge           2                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
       i           0                0
    need           0                0
     you           0                0
      to           0                0
      go           0                0
      to           0                0
     the           0                0
   table           1                0
 between           0                0
     the           0                0
  pillar           1                0
     and           0                0
     the           0                0
    door           1                0
    with           1                0
 posters           1                1
    then           0                0
      go           0                0
      to           0                0
     the           0                0
   chair           0                0
     you           0                0
    know           0                0
    what           0                0
  ignore           0                0
     the           0                0
    last           0                0
   thing           0                0
       i           0                0
   asked           0                0
     you           0                0
      to           0                0
      go           0                0
      to           0                0
   after           0                0
     the           0                0
   first           0                0
   thing           0                0
      go           0                0
      to           0                0
     the           0                1
computer           1                0
    next           0                0
      to           0                0
     the           0                2
   green           2                2
     box           2                2
--------------------------------------------------
     Word  Gold Label  Predicted Label
    visit           0                0
    these           0                0
   things           0                0
       in           0                0
      the           0                0
following           0                0
    order           0                0
      the           0                0
microwave           1                1
     then           0                0
      the           0                0
    black           1                1
    chair           1                1
       in           0                0
    front           0                0
       of           0                0
      the           0                0
   yellow           2                2
    robot           2                2
     then           0                0
      the           0                0
   fridge           1                1
      but           0                0
   before           0                0
    doing           0                0
      any           0                0
       of           0                0
     this           0                0
       go           0                0
       to           0                0
      the           0                0
    robot           2                2
--------------------------------------------------
  Word  Gold Label  Predicted Label
    go           0                0
    to           0                0
   the           0                0
  sink           1                0
   and           0                0
  take           0                0
   the           0                0
   mug           1                0
beside           0                0
   the           0                0
coffee           2                0
 maker           2                0
  drop           0                1
    it           0                0
   off           0                0
    at           0                0
   the           0                0
   red           1                0
  sofa           1                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
    find           0                0
     the           0                0
  bottle           1                0
    that           0                0
      is           0                1
      on           0                0
     the           0                0
   table           1                0
      to           0                0
     the           0                0
    left           0                0
      of           0                0
     the           0                0
computer           2                0
     and           0                0
   bring           0                0
      it           0                0
      to           0                1
     the           0                0
wardrobe           1                0
    that           0                0
      is           0                0
    next           0                0
      to           0                0
     the           0                0
   glass           2                0
    door           2                2
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
     to           0                0
    the           0                0
cabinet           1                0
between           0                0
    the           0                0
   blue           1                0
   sofa           1                1
    and           0                0
    the           0                0
  brown           1                3
    box           1                3
--------------------------------------------------
     Word  Gold Label  Predicted Label
       go           0                0
       to           0                0
      the           0                0
      red           1                0
     sofa           1                0
     then           0                0
      the           0                0
     blue           1                0
      one           0                0
     next           0                0
       to           0                0
      the           0                0
  cabinet           2                1
      but           0                0
    first           0                0
     pass           0                0
       by           0                0
      the           0                0
bookshelf           0                0
--------------------------------------------------
  Word  Gold Label  Predicted Label
    go           0                0
    to           0                0
   the           0                0
  sink           1                0
   and           0                0
  take           0                0
   the           0                0
   mug           1                0
beside           0                0
   the           0                0
coffee           2                0
