   Word  Gold Label  Predicted Label
   find           0                0
    the           0                0
 yellow           1                0
  trash           1                0
    bin           1                0
    and           0                0
     go           0                0
     to           0                0
     it           0                0
   then           0                0
     go           0                0
     by           0                0
    the           0                0
  white           1                0
  table           1                0
    but           0                0
 before           0                0
  doing           0                0
    the           0                0
  first           0                0
  thing           0                0
  visit           0                0
  where           0                0
    the           0                0
 fridge           1                0
     is           0                0
   then           0                0
  after           0                0
    the           0                0
   last           0                0
  thing           0                0
   stop           0                0
     by           0                0
    the           0                0
    red           1                0
   sofa           1                0
    but           0                0
  avoid           0                0
    the           0                0
 wooden           1                0
   door           1                0
   with           1                0
posters           1                0
--------------------------------------------------
   Word  Gold Label  Predicted Label
  never           0                0
   pass           0                0
     by           0                0
      a           0                0
  robot           1                0
    but           0                0
      i           0                0
   need           0                0
    you           0                0
     to           0                0
  bring           0                0
    the           0                0
    bag           1                0
     on           0                0
    the           0                0
  table           1                0
     to           0                0
    the           0                0
cabinet           1                1
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
     to           0                0
    the           0                0
cabinet           1                1
between           0                0
    the           0                0
   blue           1                0
   sofa           1                0
    and           0                0
    the           0                0
  brown           1                1
    box           1                1
--------------------------------------------------
   Word  Gold Label  Predicted Label
   find           0                0
    the           0                0
   door           1                0
   with           1                0
posters           1                0
     in           0                0
  front           0                0
     of           0                0
    the           0                0
 yellow           1                0
 pillar           1                0
   then           0                0
     go           0                0
  stand           0                0
     by           0                0
    the           0                0
   tree           1                0
    but           0                0
  avoid           0                0
    any           0                0
   sofa           1                1
--------------------------------------------------
   Word  Gold Label  Predicted Label
   find           0                0
    the           0                0
   door           1                0
   with           1                0
posters           1                0
     in           0                0
  front           0                0
     of           0                0
    the           0                0
 yellow           1                0
 pillow           0                0
   then           0                0
     go           0                0
  stand           0                0
     by           0                0
    the           0                0
   tree           1                0
    and           0                0
  avoid           0                0
    any           0                0
   sofa           1                0
--------------------------------------------------
     Word  Gold Label  Predicted Label
       go           0                0
     take           0                0
      the           0                0
    green           1                0
      toy           1                0
     that           0                0
       is           0                0
     next           0                0
       to           0                0
      the           0                0
     sofa           1                0
    under           0                0
      the           0                0
   poster           1                0
      and           0                0
    bring           0                0
       it           0                0
       to           0                0
      the           0                1
bookshelf           1                1
--------------------------------------------------
   Word  Gold Label  Predicted Label
     go           0                0
     to           0                0
    the           0                0
   sink           1                0
   then           0                0
    the           0                0
    red           1                0
   sofa           1                0
   then           0                0
    the           0                0
 guitar           1                0
  after           0                0
   that           0                0
      i           0                0
   want           0                0
    you           0                0
     to           0                0
 return           0                0
     to           0                0
    the           0                0
  first           0                0
  thing           0                0
