 Word  Gold Label  Predicted Label
bring           0                0
  the           0                0
  mug           1                1
 from           0                0
  the           0                0
table           2                0
 near           0                0
  the           0                0
 sink           1                0
--------------------------------------------------
   Word  Gold Label  Predicted Label
  place           0                0
    the           0                0
   vase           1                1
   near           0                0
    the           0                0
flowers           1                0
     on           0                0
    the           0                0
  table           2                0
--------------------------------------------------
      Word  Gold Label  Predicted Label
     bring           0                0
       the           0                0
      book           1                1
       and           0                0
       the           0                0
  magazine           1                0
        on           0                0
       the           0                0
nightstand           2                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
   place           0                0
     the           0                0
    cook           0                1
     can           1                0
  beside           0                0
     the           0                0
pringles           1                0
      on           0                0
     the           0                0
 counter           2                0
--------------------------------------------------
      Word  Gold Label  Predicted Label
     bring           0                0
       the           0                0
      book           1                1
       and           0                0
       the           0                0
  magazine           1                0
        on           0                0
       the           0                0
nightstand           2                0
--------------------------------------------------
 Word  Gold Label  Predicted Label
 pick           0                0
   up           0                0
  the           0                1
 book           1                0
   on           0                0
  the           0                0
table           2                0
 with           0                0
  the           0                0
  red           2                0
cover           2                2
--------------------------------------------------
   Word  Gold Label  Predicted Label
  place           0                0
    the           0                0
   vase           1                1
   near           0                0
    the           0                0
flowers           2                0
     on           0                0
    the           0                0
  table           1                0
--------------------------------------------------
      Word  Gold Label  Predicted Label
     bring           0                0
       the           0                0
      book           1                1
       and           0                0
       the           0                0
  magazine           1                0
        on           0                0
       the           0                0
nightstand           2                0
--------------------------------------------------
   Word  Gold Label  Predicted Label
  place           0                0
    the           0                0
   vase           1                1
   near           0                0
    the           0                0
flowers           1                1
     on           0                0
    the           0                0
  table           2                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
   place           0                0
     the           0                0
    coke           1                1
     can           1                0
  beside           0                0
     the           0                0
pringles           1                0
      on           0                0
     the           0                0
 counter           2                0
--------------------------------------------------
    Word  Gold Label  Predicted Label
   place           0                0
     the           0                0
  cooked           0                1
    corn           0                0
  beside           0                0
